Date,KO,PEP
2015-01-02,29.580013275146484,66.58293914794922
2015-01-05,29.580013275146484,66.08234405517578
2015-01-06,29.804636001586914,65.58177185058594
2015-01-07,30.17667007446289,67.4994888305664
2015-01-08,30.54167366027832,68.72620391845703
2015-01-09,30.204742431640625,68.26091003417969
2015-01-12,29.930992126464844,67.9788818359375
2015-01-13,29.923973083496094,67.92955017089844
2015-01-14,29.87484359741211,68.15514373779297
2015-01-15,29.748483657836914,68.15514373779297
2015-01-16,29.85376739501953,68.59226989746094
2015-01-20,30.296003341674805,68.74736785888672
2015-01-21,30.43638038635254,68.66981506347656
2015-01-22,30.731199264526367,69.72734069824219
2015-01-23,30.401283264160156,69.46650695800781
2015-01-26,30.18369483947754,69.57929229736328
2015-01-27,29.7554988861084,68.19039916992188
2015-01-28,29.42557716369629,67.48536682128906
2015-01-29,29.551939010620117,67.70391845703125
2015-01-30,28.89912986755371,66.11760711669922
2015-02-02,29.193944931030273,67.21038818359375
2015-02-03,29.222030639648438,67.82379150390625
2015-02-04,29.257123947143555,68.10580444335938
2015-02-05,29.334327697753906,68.11283874511719
2015-02-06,29.09567642211914,68.183349609375
2015-02-09,28.94124412536621,67.66161346435547
2015-02-10,29.76252555847168,69.08577728271484
2015-02-11,29.741466522216797,70.784912109375
2015-02-12,29.601070404052734,70.69326782226562
2015-02-13,29.47471809387207,69.88951873779297
2015-02-17,29.34836769104004,69.34662628173828
2015-02-18,29.292211532592773,70.030517578125
2015-02-19,29.558956146240234,69.60043334960938
2015-02-20,29.46068572998047,69.84015655517578
2015-02-23,29.37645721435547,70.11512756347656
2015-02-24,29.572998046875,70.20677185058594
2015-02-25,29.516843795776367,70.15034484863281
2015-02-26,29.804636001586914,69.84724426269531
2015-02-27,30.394271850585938,69.78376770019531
2015-03-02,30.324066162109375,69.79786682128906
2015-03-03,30.148590087890625,69.37481689453125
2015-03-04,29.83271026611328,69.1015853881836
2015-03-05,29.76252555847168,69.00933074951172
2015-03-06,29.14480209350586,68.25697326660156
2015-03-09,29.053556442260742,68.16473388671875
2015-03-10,28.562196731567383,67.02201843261719
2015-03-11,28.148052215576172,66.4542236328125
2015-03-12,28.714258193969727,67.93049621582031
2015-03-13,28.247133255004883,66.94395446777344
2015-03-16,28.51608657836914,67.74598693847656
2015-03-17,28.671785354614258,66.80907440185547
2015-03-18,28.735488891601562,67.17106628417969
2015-03-19,28.324983596801758,66.78780364990234
2015-03-20,28.77088737487793,67.66790008544922
2015-03-23,28.749645233154297,68.02986145019531
2015-03-24,28.64348030090332,68.03697967529297
2015-03-25,28.629323959350586,67.61112213134766
2015-03-26,28.55855369567871,67.87371063232422
2015-03-27,28.36745262145996,68.10084533691406
2015-03-30,28.671785354614258,68.50538635253906
2015-03-31,28.700105667114258,67.86663055419922
2015-04-01,28.792118072509766,67.49044799804688
2015-04-02,28.792118072509766,67.91629028320312
2015-04-06,29.138925552368164,68.4770278930664
2015-04-07,29.02567481994629,68.28536224365234
2015-04-08,28.94074821472168,68.1576156616211
2015-04-09,29.05400848388672,68.38475799560547
2015-04-10,28.933666229248047,68.27828216552734
2015-04-13,28.806276321411133,67.80274963378906
2015-04-14,28.671785354614258,68.4841079711914
2015-04-15,28.593952178955078,68.58345794677734
2015-04-16,28.735488891601562,68.45570373535156
2015-04-17,28.523162841796875,68.00146484375
2015-04-20,28.777957916259766,68.4911880493164
2015-04-21,28.86288833618164,68.68994903564453
2015-04-22,29.238018035888672,69.0448226928711
2015-04-23,28.983217239379883,67.94469451904297
2015-04-24,28.94074821472168,67.5472183227539
2015-04-27,28.898279190063477,67.06459045410156
2015-04-28,28.855810165405273,67.0149154663086
2015-04-29,28.657636642456055,66.98651885986328
2015-04-30,28.707183837890625,67.51171875
2015-05-01,28.95489501953125,67.82402801513672
2015-05-04,28.990291595458984,68.10084533691406
2015-05-05,28.841665267944336,67.72465515136719
2015-05-06,28.777957916259766,67.76725769042969
2015-05-07,28.806276321411133,67.53303527832031
2015-05-08,29.00445556640625,68.52668762207031
2015-05-11,28.976146697998047,68.38475799560547
2015-05-12,28.799196243286133,68.27828216552734
2015-05-13,29.05400848388672,68.42733764648438
2015-05-14,29.372480392456055,69.55583190917969
2015-05-15,29.386638641357422,69.71198272705078
2015-05-18,29.245086669921875,69.59134674072266
2015-05-19,29.238018035888672,69.52033233642578
2015-05-20,29.266328811645508,69.33583068847656
2015-05-21,29.181392669677734,68.9880142211914
2015-05-22,29.1672306060791,68.32087707519531
2015-05-26,29.01152229309082,67.98726654052734
2015-05-27,29.103525161743164,68.4060287475586
2015-05-28,29.117679595947266,68.888671875
2015-05-29,28.990291595458984,68.44152069091797
2015-06-01,28.976146697998047,68.11502075195312
2015-06-02,29.01152229309082,68.17181396484375
2015-06-03,28.926593780517578,68.1382064819336
2015-06-04,28.728422164916992,67.30880737304688
2015-06-05,28.381610870361328,66.52947998046875
2015-06-08,28.424074172973633,66.37935638427734
2015-06-09,28.452390670776367,66.54377746582031
2015-06-10,28.54439926147461,66.98709106445312
2015-06-11,28.615758895874023,67.2730712890625
2015-06-12,28.515851974487305,67.02281951904297
2015-06-15,28.251811981201172,66.2363510131836
2015-06-16,28.601484298706055,66.88697814941406
2015-06-17,28.7370662689209,67.24445343017578
2015-06-18,29.00824546813965,68.08816528320312
2015-06-19,28.829849243164062,67.82361602783203
2015-06-22,28.88692855834961,68.35273742675781
2015-06-23,28.815570831298828,68.35273742675781
2015-06-24,28.67998695373535,68.13108825683594
2015-06-25,28.55866241455078,67.8021469116211
2015-06-26,28.54439926147461,67.85934448242188
2015-06-29,28.11623764038086,66.98709106445312
2015-06-30,27.994905471801758,66.73681640625
2015-07-01,28.187580108642578,67.58052825927734
2015-07-02,28.180444717407227,67.68064880371094
2015-07-06,28.1304988861084,67.4947509765625
2015-07-07,28.722793579101562,68.9246826171875
2015-07-08,28.444490432739258,68.35987091064453
2015-07-09,28.4873104095459,67.63055419921875
2015-07-10,28.822704315185547,68.31697082519531
2015-07-13,29.0153751373291,69.510986328125
2015-07-14,29.37932014465332,69.44662475585938
2015-07-15,29.350772857666016,68.88894653320312
2015-07-16,29.60053825378418,69.28219604492188
2015-07-17,29.4364070892334,69.1963882446289
2015-07-20,29.5291748046875,69.57532501220703
2015-07-21,29.393592834472656,69.30362701416016
2015-07-22,29.186649322509766,69.47522735595703
2015-07-23,29.14382553100586,69.26072692871094
2015-07-24,28.858386993408203,68.76740264892578
2015-07-27,28.92974090576172,68.3956069946289
2015-07-28,28.93688201904297,68.71736907958984
2015-07-29,28.965431213378906,69.01763153076172
2015-07-30,28.94401741027832,69.08912658691406
2015-07-31,29.31509017944336,68.88894653320312
2015-08-03,29.643348693847656,69.6754150390625
2015-08-04,29.864580154418945,69.93283081054688
2015-08-05,30.05724334716797,70.91952514648438
2015-08-06,29.91451644897461,70.89089965820312
2015-08-07,29.807485580444336,70.85515594482422
2015-08-10,29.743263244628906,70.84798431396484
2015-08-11,29.60053825378418,70.51195526123047
2015-08-12,29.443553924560547,70.34037017822266
2015-08-13,29.329357147216797,70.6335220336914
2015-08-14,29.4364070892334,70.9480972290039
2015-08-17,29.507776260375977,71.39852905273438
2015-08-18,29.472091674804688,71.33422088623047
2015-08-19,29.10100746154785,70.7765121459961
2015-08-20,28.93688201904297,70.05435943603516
2015-08-21,28.208999633789062,68.81746673583984
2015-08-24,27.388347625732422,65.65719604492188
2015-08-25,27.110036849975586,64.09137725830078
2015-08-26,27.638113021850586,66.12908935546875
2015-08-27,28.02347183227539,66.92274475097656
2015-08-28,28.151914596557617,66.87268829345703
2015-08-31,28.059141159057617,66.44367218017578
2015-09-01,27.652381896972656,65.29972839355469
2015-09-02,27.759428024291992,66.02961730957031
2015-09-03,27.944969177246094,66.38267517089844
2015-09-04,27.488252639770508,65.51082611083984
2015-09-08,27.759428024291992,66.55561065673828
2015-09-09,27.331254959106445,65.44599151611328
2015-09-10,27.41689109802246,65.61170196533203
2015-09-11,27.445688247680664,66.01522827148438
2015-09-14,27.424087524414062,65.71257019042969
2015-09-15,27.712011337280273,66.33222198486328
2015-09-16,28.17987823486328,67.05998229980469
2015-09-17,28.345422744750977,67.27613830566406
2015-09-18,28.057506561279297,67.04557800292969
2015-09-21,28.208660125732422,67.52112579345703
2015-09-22,27.920745849609375,66.55561065673828
2015-09-23,27.899150848388672,66.57720947265625
2015-09-24,28.17987823486328,66.62764739990234
2015-09-25,28.51816749572754,67.34819030761719
2015-09-28,28.45338249206543,66.62764739990234
2015-09-29,28.546960830688477,67.03836059570312
2015-09-30,28.87806510925293,67.94622802734375
2015-10-01,28.64773178100586,67.62198638916016
2015-10-02,29.07241439819336,67.84537506103516
2015-10-05,29.51868438720703,69.03421783447266
2015-10-06,29.482698440551758,69.94209289550781
2015-10-07,29.885774612426758,70.98686218261719
2015-10-08,30.216888427734375,71.31110382080078
2015-10-09,30.245683670043945,71.67137145996094
2015-10-12,30.23128318786621,71.43360137939453
2015-10-13,29.979352951049805,70.55455017089844
2015-10-14,30.000940322875977,70.24473571777344
2015-10-15,30.173690795898438,70.81394958496094
2015-10-16,30.245683670043945,71.83708953857422
2015-10-19,30.224082946777344,72.18294525146484
2015-10-20,30.440031051635742,72.24781036376953
2015-10-21,30.3680477142334,72.23340606689453
2015-10-22,31.123825073242188,74.27251434326172
2015-10-23,30.799915313720703,73.80419158935547
2015-10-26,30.655956268310547,73.88341522216797
2015-10-27,30.670360565185547,74.171630859375
2015-10-28,30.756729125976562,74.02751159667969
2015-10-29,30.799915313720703,74.07076263427734
2015-10-30,30.483217239379883,73.63123321533203
2015-11-02,30.404029846191406,73.06201171875
2015-11-03,30.346446990966797,72.71614837646484
2015-11-04,30.209678649902344,72.49998474121094
2015-11-05,30.468812942504883,72.49278259277344
2015-11-06,30.20248794555664,71.85152435302734
2015-11-09,29.900175094604492,71.24627685546875
2015-11-10,30.065732955932617,71.21024322509766
2015-11-11,30.260080337524414,71.6425552368164
2015-11-12,29.928974151611328,70.8788070678711
2015-11-13,29.78500747680664,70.64100646972656
2015-11-16,30.20248794555664,71.7362289428711
2015-11-17,29.99374771118164,71.21024322509766
2015-11-18,30.432828903198242,72.24781036376953
2015-11-19,31.030242919921875,72.72335815429688
2015-11-20,30.540786743164062,72.12531280517578
2015-11-23,30.922277450561523,72.66570281982422
2015-11-24,31.2101993560791,72.5072021484375
2015-11-25,31.2101993560791,72.41352081298828
2015-11-27,31.2972354888916,72.58644104003906
2015-11-30,30.912826538085938,72.16857147216797
2015-12-01,31.108646392822266,72.8170394897461
2015-12-02,31.02161979675293,72.18069458007812
2015-12-03,30.796764373779297,71.89772033691406
2015-12-04,31.39878273010254,73.32711791992188
2015-12-07,31.3334903717041,73.04413604736328
2015-12-08,31.195690155029297,72.68134307861328
2015-12-09,30.94182586669922,71.9267349243164
2015-12-10,31.01435661315918,71.75985717773438
2015-12-11,30.658954620361328,70.94720458984375
2015-12-14,30.789512634277344,71.0705337524414
2015-12-15,31.23920440673828,72.11539459228516
2015-12-16,31.797693252563477,73.34160614013672
2015-12-17,31.54384422302246,72.70308685302734
2015-12-18,30.825775146484375,71.0342788696289
2015-12-21,31.02886390686035,71.55668640136719
2015-12-22,31.39878273010254,72.41287994384766
2015-12-23,31.67440414428711,73.02238464355469
2015-12-24,31.580106735229492,72.94979095458984
2015-12-28,31.54384422302246,73.05140686035156
2015-12-29,31.70340347290039,73.61009216308594
2015-12-30,31.60186767578125,73.39240264892578
2015-12-31,31.159427642822266,72.49995422363281
2016-01-04,30.753252029418945,71.66551971435547
2016-01-05,30.862043380737305,72.158935546875
2016-01-06,30.69523048400879,72.18069458007812
2016-01-07,30.187503814697266,70.79483795166016
2016-01-08,30.107717514038086,70.53360748291016
2016-01-11,30.15849494934082,70.70051574707031
2016-01-12,30.55016326904297,70.83111572265625
2016-01-13,30.354337692260742,70.01847076416016
2016-01-14,30.376087188720703,69.51781463623047
2016-01-15,30.100460052490234,68.15373992919922
2016-01-19,30.405094146728516,69.4887924194336
2016-01-20,30.013427734375,68.03763580322266
2016-01-21,30.020687103271484,68.54553985595703
2016-01-22,30.506649017333984,69.54683685302734
2016-01-25,30.579185485839844,69.61215209960938
2016-01-26,30.521154403686523,69.88784790039062
2016-01-27,30.528400421142578,69.61215209960938
2016-01-28,30.876556396484375,70.70774841308594
2016-01-29,31.130409240722656,72.05009460449219
2016-02-01,31.188446044921875,71.85417938232422
2016-02-02,30.782257080078125,71.25920867919922
2016-02-03,30.9853572845459,71.62925720214844
2016-02-04,30.8475284576416,70.66421508789062
2016-02-05,30.782257080078125,70.61344146728516
2016-02-08,30.934581756591797,70.75855255126953
2016-02-09,31.406028747558594,71.31000518798828
2016-02-10,30.862043380737305,70.83111572265625
2016-02-11,30.760499954223633,70.30868530273438
2016-02-12,31.268217086791992,71.46235656738281
2016-02-16,31.44955062866211,71.54219055175781
2016-02-17,31.54384422302246,72.23150634765625
2016-02-18,31.630874633789062,72.28227233886719
2016-02-19,31.746932983398438,72.25325012207031
2016-02-22,31.870223999023438,72.46366882324219
2016-02-23,31.68891143798828,72.22421264648438
2016-02-24,31.84846305847168,72.32581329345703
2016-02-25,32.02979278564453,73.04413604736328
2016-02-26,31.28998374938965,71.3680419921875
2016-02-29,31.282726287841797,70.97623443603516
2016-03-01,31.68891143798828,71.89772033691406
2016-03-02,31.746932983398438,71.85606384277344
2016-03-03,31.884742736816406,72.46259307861328
2016-03-04,31.9935245513916,73.07644653320312
2016-03-07,31.921009063720703,72.52836608886719
2016-03-08,32.14585494995117,72.8864517211914
2016-03-09,32.501258850097656,73.22258758544922
2016-03-10,32.80588150024414,73.64643859863281
2016-03-11,33.039794921875,74.03375244140625
2016-03-14,33.105587005615234,73.55144500732422
2016-03-15,33.069034576416016,73.91683197021484
2016-03-16,32.930145263671875,73.6829605102539
2016-03-17,33.456451416015625,74.44297790527344
2016-03-18,33.33218765258789,74.01912689208984
2016-03-21,33.383358001708984,74.20182037353516
2016-03-22,33.25908279418945,73.63912963867188
2016-03-23,33.22985076904297,73.66837310791016
2016-03-24,33.31757354736328,73.57339477539062
2016-03-28,33.47837829589844,73.79261016845703
2016-03-29,33.975433349609375,74.07756805419922
2016-03-30,34.04853439331055,75.04220581054688
2016-03-31,33.90965270996094,74.88874053955078
2016-04-01,34.23126983642578,75.8387222290039
2016-04-04,34.2751350402832,75.86795043945312
2016-04-05,34.011985778808594,75.341796875
2016-04-06,34.14356231689453,75.94104766845703
2016-04-07,33.887718200683594,75.70718383789062
