Date,AAPL,MSFT
2015-01-02,24.192604064941406,39.6817512512207
2015-01-05,23.51106071472168,39.316829681396484
2015-01-06,23.513277053833008,38.73976516723633
2015-01-07,23.842979431152344,39.23196792602539
2015-01-08,24.75908851623535,40.3861083984375
2015-01-09,24.785627365112305,40.046661376953125
2015-01-12,24.174903869628906,39.54595184326172
2015-01-13,24.389543533325195,39.34229278564453
2015-01-14,24.29660415649414,39.002830505371094
2015-01-15,23.637189865112305,38.59549331665039
2015-01-16,23.453527450561523,39.24044418334961
2015-01-20,24.057626724243164,39.36774826049805
2015-01-21,24.241287231445312,38.96888732910156
2015-01-22,24.871931076049805,39.9957275390625
2015-01-23,25.000276565551758,40.03815841674805
2015-01-26,25.02682876586914,39.893898010253906
2015-01-27,24.150558471679688,36.20237350463867
2015-01-28,25.5158634185791,34.95488739013672
2015-01-29,26.310264587402344,35.65077209472656
2015-01-30,25.925230026245117,34.284488677978516
2015-02-02,26.25051498413086,35.03126907348633
2015-02-03,26.254940032958984,35.30284118652344
2015-02-04,26.456300735473633,35.50649642944336
2015-02-05,26.645124435424805,36.024169921875
2015-02-06,26.420761108398438,35.990230560302734
2015-02-09,26.59625816345215,35.94779586791992
2015-02-10,27.107215881347656,36.15145492553711
2015-02-11,27.74257469177246,35.964759826660156
2015-02-12,28.093576431274414,36.56728744506836
2015-02-13,28.231311798095703,37.229217529296875
2015-02-17,28.397924423217773,37.246299743652344
2015-02-18,28.595643997192383,37.20356750488281
2015-02-19,28.535667419433594,37.17792892456055
2015-02-20,28.768924713134766,37.48562240600586
2015-02-23,29.546457290649414,37.73345947265625
2015-02-24,29.362071990966797,37.68218231201172
2015-02-25,28.611188888549805,37.59670639038086
2015-02-26,28.97330665588379,37.656558990478516
2015-02-27,28.53788948059082,37.47706604003906
2015-03-02,28.677852630615234,37.50270080566406
2015-03-03,28.737823486328125,36.98991012573242
2015-03-04,28.55565643310547,36.80187225341797
2015-03-05,28.082468032836914,36.844608306884766
2015-03-06,28.12467384338379,36.20362091064453
2015-03-09,28.24464225769043,36.622406005859375
2015-03-10,27.660375595092773,35.92156982421875
2015-03-11,27.156095504760742,35.878841400146484
2015-03-12,27.647048950195312,35.05836486816406
2015-03-13,27.45599365234375,35.36603927612305
2015-03-16,27.75812339782715,35.51988220214844
2015-03-17,28.222431182861328,35.63953399658203
2015-03-18,28.54010581970215,36.323265075683594
2015-03-19,28.324626922607422,36.14379119873047
2015-03-20,27.96917152404785,36.648033142089844
2015-03-23,28.260190963745117,36.63093566894531
2015-03-24,28.144676208496094,36.6651496887207
2015-03-25,27.409339904785156,35.434410095214844
2015-03-26,27.600393295288086,35.22075271606445
2015-03-27,27.38046646118164,35.015628814697266
2015-03-30,28.073583602905273,35.007083892822266
2015-03-31,27.642608642578125,34.750675201416016
2015-04-01,27.60262107849121,34.801963806152344
2015-04-02,27.840328216552734,34.43445587158203
2015-04-06,28.291297912597656,35.511329650878906
2015-04-07,27.99361228942871,35.49424362182617
2015-04-08,27.90252685546875,35.40021896362305
2015-04-09,28.115798950195312,35.45152282714844
2015-04-10,28.235754013061523,35.6566276550293
2015-04-13,28.180213928222656,35.69081497192383
2015-04-14,28.058032989501953,35.59680938720703
2015-04-15,28.1646728515625,36.1181640625
2015-04-16,28.029151916503906,36.032684326171875
2015-04-17,27.713695526123047,35.5711555480957
2015-04-20,28.346832275390625,36.673683166503906
2015-04-21,28.193546295166016,36.44291305541992
2015-04-22,28.57342529296875,36.74205780029297
2015-04-23,28.806690216064453,37.04120635986328
2015-04-24,28.942203521728516,40.91283416748047
2015-04-27,29.468711853027344,41.04956817626953
2015-04-28,29.004404067993164,42.01533508300781
2015-04-29,28.577880859375,41.92987060546875
2015-04-30,27.802562713623047,41.5709114074707
2015-05-01,28.64673614501953,41.58799362182617
2015-05-04,28.591201782226562,41.22903060913086
2015-05-05,27.94696044921875,40.68205261230469
2015-05-06,27.77145767211914,39.55391311645508
2015-05-07,27.943225860595703,39.91286849975586
2015-05-08,28.469696044921875,40.810264587402344
2015-05-11,28.17970085144043,40.4854736328125
2015-05-12,28.07931137084961,40.4683952331543
2015-05-13,28.110536575317383,40.707698822021484
2015-05-14,28.766399383544922,41.639278411865234
2015-05-15,28.726240158081055,41.28031921386719
2015-05-18,29.043018341064453,41.03246307373047
2015-05-19,29.016254425048828,40.929256439208984
2015-05-20,29.014019012451172,40.929256439208984
2015-05-21,29.31071662902832,40.79161071777344
2015-05-22,29.567258834838867,40.34429931640625
2015-05-26,28.915864944458008,40.07762145996094
2015-05-27,29.455726623535156,40.955039978027344
2015-05-28,29.397722244262695,40.817405700683594
2015-05-29,29.063098907470703,40.30988693237305
2015-06-01,29.121109008789062,40.628170013427734
2015-06-02,28.991716384887695,40.36149215698242
2015-06-03,29.02740478515625,40.301292419433594
2015-06-04,28.857864379882812,39.87977600097656
2015-06-05,28.69947624206543,39.69053268432617
2015-06-08,28.509855270385742,39.337833404541016
2015-06-09,28.42508888244629,39.269020080566406
2015-06-10,28.75078773498535,40.094825744628906
2015-06-11,28.68608856201172,39.948612213134766
2015-06-12,28.369314193725586,39.544281005859375
2015-06-15,28.31354522705078,39.122772216796875
2015-06-16,28.46523666381836,39.42387008666992
2015-06-17,28.3983154296875,39.544281005859375
2015-06-18,28.527706146240234,40.1894416809082
2015-06-19,28.242156982421875,39.65610885620117
2015-06-22,28.467472076416016,39.767948150634766
2015-06-23,28.33807373046875,39.49268341064453
2015-06-24,28.579017639160156,39.26041793823242
2015-06-25,28.442928314208984,39.269020080566406
2015-06-26,28.275617599487305,38.933528900146484
2015-06-29,27.78037452697754,38.16793441772461
2015-06-30,27.981151580810547,37.97868728637695
2015-07-01,28.242156982421875,38.23675537109375
2015-07-02,28.206470489501953,38.19375228881836
2015-07-06,28.10831069946289,38.18514633178711
2015-07-07,28.039155960083008,38.107730865478516
2015-07-08,27.343141555786133,38.056114196777344
2015-07-09,26.785442352294922,38.296974182128906
2015-07-10,27.501523971557617,38.374385833740234
2015-07-13,28.032459259033203,39.174407958984375
2015-07-14,28.02130889892578,39.24322509765625
2015-07-15,28.29123878479004,39.363643646240234
2015-07-16,28.668245315551758,40.13784408569336
2015-07-17,28.915864944458008,40.10343551635742
2015-07-20,29.46241569519043,40.36149215698242
2015-07-21,29.167951583862305,40.671165466308594
2015-07-22,27.934307098388672,39.174407958984375
2015-07-23,27.920917510986328,39.66470718383789
2015-07-24,27.773685455322266,39.518489837646484
2015-07-27,27.38775062561035,39.01095199584961
2015-07-28,27.523834228515625,39.00236129760742
2015-07-29,27.436832427978516,39.81955337524414
2015-07-30,27.298524856567383,40.32707977294922
2015-07-31,27.059825897216797,40.17226028442383
2015-08-03,26.421815872192383,40.26688766479492
2015-08-04,25.574100494384766,40.89483642578125
2015-08-05,25.7436466217041,40.929256439208984
2015-08-06,25.799667358398438,40.10343551635742
2015-08-07,25.887060165405273,40.20665740966797
2015-08-10,26.8282413482666,40.714195251464844
2015-08-11,25.432157516479492,39.922786712646484
2015-08-12,25.82431411743164,40.20665740966797
2015-08-13,25.804153442382812,40.19805145263672
2015-08-14,25.98565101623535,40.43032455444336
2015-08-17,26.254573822021484,40.70558166503906
2015-08-18,26.10666847229004,40.930728912353516
2015-08-19,25.772769927978516,40.35922622680664
2015-08-20,25.243919372558594,39.5366325378418
2015-08-21,23.699922561645508,37.29397201538086
2015-08-24,23.108320236206055,36.09037399291992
2015-08-25,23.247268676757812,35.04265594482422
2015-08-26,24.580608367919922,36.98225021362305
2015-08-27,25.30442237854004,38.01266860961914
2015-08-28,25.387332916259766,38.03863525390625
2015-08-31,25.26856803894043,37.683631896972656
2015-09-01,24.13915252685547,36.21160888671875
2015-09-02,25.17444610595703,37.545074462890625
2015-09-03,24.732986450195312,37.66630554199219
2015-09-04,24.48648452758789,36.89565658569336
2015-09-08,25.167728424072266,38.00399398803711
2015-09-09,24.683685302734375,37.29397201538086
2015-09-10,25.225988388061523,37.48447799682617
2015-09-11,25.59349822998047,37.64898681640625
2015-09-14,25.84000587463379,37.26799774169922
2015-09-15,26.057371139526367,38.08192443847656
2015-09-16,26.086496353149414,38.359031677246094
2015-09-17,25.52851676940918,38.31574630737305
2015-09-18,25.423189163208008,37.64898681640625
2015-09-21,25.81758689880371,38.194488525390625
2015-09-22,25.4119873046875,38.01266860961914
2015-09-23,25.618152618408203,37.98668670654297
2015-09-24,25.770536422729492,38.02133560180664
2015-09-25,25.705543518066406,38.04730987548828
2015-09-28,25.196857452392578,37.48447799682617
2015-09-29,24.43943214416504,37.61435317993164
2015-09-30,24.71729850769043,38.324378967285156
2015-10-01,24.55595588684082,38.62745666503906
2015-10-02,24.73522186279297,39.45869827270508
2015-10-05,24.82486915588379,40.376556396484375
2015-10-06,24.943635940551758,40.480472564697266
2015-10-07,24.82486915588379,40.52374267578125
2015-10-08,24.538021087646484,41.08658218383789
2015-10-09,25.12514305114746,40.79217529296875
2015-10-12,25.00862693786621,40.69693374633789
2015-10-13,25.05120086669922,40.60167694091797
2015-10-14,24.69713592529297,40.419837951660156
2015-10-15,25.06688690185547,40.70558547973633
2015-10-16,24.883134841918945,41.13852310180664
2015-10-19,25.03775978088379,41.233787536621094
2015-10-20,25.494901657104492,41.363670349121094
2015-10-21,25.49266242980957,40.87010955810547
2015-10-22,25.882579803466797,41.588802337646484
2015-10-23,26.684829711914062,45.77971267700195
2015-10-26,25.83327865600586,46.974639892578125
2015-10-27,25.669692993164062,46.489749908447266
2015-10-28,26.72740364074707,46.7408561706543
2015-10-29,27.009756088256836,46.204002380371094
2015-10-30,26.778942108154297,45.58055114746094
2015-11-02,27.155420303344727,46.1000862121582
2015-11-03,27.466907501220703,46.888057708740234
2015-11-04,27.33917236328125,47.10451889038086
2015-11-05,27.2131404876709,47.08721923828125
2015-11-06,27.24464988708496,47.55479431152344
2015-11-09,27.134376525878906,46.8967170715332
2015-11-10,26.27918243408203,46.333885192871094
2015-11-11,26.13064956665039,46.45510482788086
2015-11-12,26.042879104614258,46.16936492919922
2015-11-13,25.282203674316406,45.75373458862305
2015-11-16,25.696306228637695,46.55901336669922
2015-11-17,25.58603286743164,46.17545700073242
2015-11-18,26.39620590209961,46.94258117675781
2015-11-19,26.731538772583008,47.02103042602539
2015-11-20,26.848560333251953,47.23897171020508
2015-11-23,26.499732971191406,47.23897171020508
2015-11-24,26.75404167175293,47.29126739501953
2015-11-25,26.562744140625,46.8031005859375
2015-11-27,26.51323127746582,47.01231002807617
2015-11-30,26.623512268066406,47.37843704223633
2015-12-01,26.407466888427734,48.13685607910156
2015-12-02,26.16891098022461,48.12812805175781
2015-12-03,25.92585563659668,47.247684478759766
2015-12-04,26.787790298461914,48.73833465576172
2015-12-07,26.619009017944336,48.65117645263672
2015-12-08,26.607757568359375,48.63373947143555
2015-12-09,26.020376205444336,47.92763900756836
2015-12-10,26.14415168762207,48.180416107177734
2015-12-11,25.471250534057617,47.12565994262695
2015-12-14,25.313716888427734,48.06710433959961
2015-12-15,24.865869522094727,48.119415283203125
2015-12-16,25.05714988708496,48.93013000488281
2015-12-17,24.52603530883789,48.555267333984375
2015-12-18,23.862140655517578,47.18666458129883
2015-12-21,24.154705047607422,47.7968864440918
2015-12-22,24.132200241088867,48.25016784667969
2015-12-23,24.442758560180664,48.659881591796875
2015-12-24,24.31224250793457,48.52912902832031
2015-12-28,24.039928436279297,48.77320098876953
2015-12-29,24.47202491760254,49.29624938964844
2015-12-30,24.152456283569336,49.0870361328125
2015-12-31,23.688846588134766,48.363494873046875
2016-01-04,23.709108352661133,47.770729064941406
2016-01-05,23.114974975585938,47.9886474609375
2016-01-06,22.662607192993164,47.11692428588867
2016-01-07,21.70615005493164,45.47807693481445
2016-01-08,21.8209285736084,45.617557525634766
2016-01-11,22.174257278442383,45.591400146484375
2016-01-12,22.49608039855957,46.009822845458984
2016-01-13,21.917692184448242,45.01606750488281
2016-01-14,22.39705467224121,46.297508239746094
2016-01-15,21.859182357788086,44.449432373046875
2016-01-19,21.753408432006836,44.074607849121094
2016-01-20,21.782663345336914,44.27509307861328
2016-01-21,21.672399520874023,44.00485610961914
2016-01-22,22.82465362548828,45.58268356323242
2016-01-25,22.37905502319336,45.146812438964844
2016-01-26,22.502830505371094,45.47807693481445
2016-01-27,21.024248123168945,44.64992904663086
2016-01-28,21.17503547668457,45.382198333740234
2016-01-29,21.90644645690918,48.023521423339844
2016-02-01,21.7016544342041,47.6922607421875
2016-02-02,21.262800216674805,46.201622009277344
2016-02-03,21.68364715576172,45.469356536865234
2016-02-04,21.857872009277344,45.32988739013672
2016-02-05,21.27408790588379,43.725887298583984
2016-02-08,21.498104095458984,43.07210159301758
2016-02-09,21.493579864501953,42.95877456665039
2016-02-10,21.330665588378906,43.33363342285156
2016-02-11,21.201684951782227,43.316184997558594
2016-02-12,21.26730728149414,44.02229309082031
2016-02-16,21.866926193237305,44.85637283325195
2016-02-17,22.201810836791992,46.02409362792969
2016-02-18,21.780946731567383,45.822166442871094
2016-02-19,21.731159210205078,45.497310638427734
2016-02-22,21.921232223510742,46.226051330566406
2016-02-23,21.42569351196289,44.935401916503906
2016-02-24,21.74473762512207,45.09343719482422
2016-02-25,21.89407730102539,45.743141174316406
2016-02-26,21.928016662597656,45.04075241088867
2016-02-29,21.87824058532715,44.67200469970703
2016-03-01,22.74712562561035,46.164573669433594
2016-03-02,22.79690170288086,46.48942947387695
2016-03-03,22.966604232788086,45.96263885498047
2016-03-04,23.308279037475586,45.68169021606445
2016-03-07,23.05032730102539,44.8036994934082
2016-03-08,22.860258102416992,45.34804153442383
2016-03-09,22.880624771118164,46.392852783203125
2016-03-10,22.891937255859375,45.699241638183594
2016-03-11,23.138572692871094,46.594783782958984
2016-03-14,23.197404861450195,46.68259048461914
