Date,XOM,CVX
2015-01-02,57.14555358886719,68.8983383178711
2015-01-05,55.58195877075195,66.14436340332031
2015-01-06,55.28646469116211,66.11376953125
2015-01-07,55.84663772583008,66.05867004394531
2015-01-08,56.776214599609375,67.57029724121094
2015-01-09,56.6961555480957,66.22395324707031
2015-01-12,55.60657501220703,64.79798889160156
2015-01-13,55.403411865234375,63.769832611083984
2015-01-14,55.243377685546875,63.586265563964844
2015-01-15,54.76320266723633,62.83349609375
2015-01-16,56.0928955078125,64.33284759521484
2015-01-20,56.07442092895508,65.1590576171875
2015-01-21,56.55459213256836,66.19331359863281
2015-01-22,57.1701774597168,66.658447265625
2015-01-23,55.9513053894043,65.39161682128906
2015-01-26,56.48686599731445,66.63395690917969
2015-01-27,55.98821258544922,66.2545166015625
2015-01-28,54.141441345214844,63.46993637084961
2015-01-29,53.91367721557617,63.03544235229492
2015-01-30,53.81517791748047,62.74778366088867
2015-02-02,55.144859313964844,64.90813446044922
2015-02-03,56.78850555419922,67.03174591064453
2015-02-04,56.30218505859375,66.30960083007812
2015-02-05,56.85624694824219,66.89710998535156
2015-02-06,56.75078582763672,67.0807113647461
2015-02-09,56.788002014160156,67.5825424194336
2015-02-10,56.44689178466797,67.42955017089844
2015-02-11,56.19258499145508,67.3071517944336
2015-02-12,57.2903938293457,68.51226806640625
2015-02-13,57.91060256958008,69.69886016845703
2015-02-17,57.7121467590332,69.46399688720703
2015-02-18,56.44689178466797,68.25269317626953
2015-02-19,55.47311019897461,66.9610595703125
2015-02-20,55.77080154418945,67.11555480957031
2015-02-23,55.2064094543457,66.65821838378906
2015-02-24,55.460716247558594,66.72003173828125
2015-02-25,55.572349548339844,67.10321807861328
2015-02-26,54.983131408691406,66.1638412475586
2015-02-27,54.91490936279297,65.92899322509766
2015-03-02,54.60478973388672,65.44696044921875
2015-03-03,54.34430694580078,64.98963165283203
2015-03-04,54.07139587402344,64.98963165283203
2015-03-05,53.79850769042969,64.72388458251953
2015-03-06,53.11005401611328,63.994625091552734
2015-03-09,52.818538665771484,64.24182891845703
2015-03-10,52.260337829589844,63.5991325378418
2015-03-11,52.11147689819336,63.98844909667969
2015-03-12,52.235530853271484,63.296287536621094
2015-03-13,52.018455505371094,62.801883697509766
2015-03-16,52.57047653198242,63.73507308959961
2015-03-17,52.14868927001953,63.759803771972656
2015-03-18,53.38295364379883,65.94134521484375
2015-03-19,52.35337448120117,64.73623657226562
2015-03-20,52.433998107910156,66.14530181884766
2015-03-23,52.98600769042969,65.45931243896484
2015-03-24,52.42160415649414,64.3963394165039
2015-03-25,52.63246536254883,65.30481719970703
2015-03-26,52.29756164550781,65.04524993896484
2015-03-27,51.83858871459961,64.44577026367188
2015-03-30,53.11005401611328,66.06494903564453
2015-03-31,52.71931076049805,64.87837982177734
